ID article dans kezzia,Type d'article pour nom,Marque d'article pour nom,BIO (oui/non),Nom d'article au Super Cafoutch,Code barre,Nom fournisseur,Nom article chez fournisseur,Référence fournisseur,Colisage en unité de mesure,Prix HT par unité de mesure,Catégorie interne,TVA,Contrôle TVA,Poids net (kilo),Volume (litre),Lien vers photo,Pays d'origine,Produit en mercuriale (oui/non)
1 840,Origan flocons -,MASALCHI,oui,Origan flocons - MASALCHI,3760022906335,Bryio,Origan flocons 11gr,MC633,3,Bryio,"Alimentaire / Épicerie / Épices, Condiments, Graines",A5.5-V5.5,ok,"0,011",,http://espacepro.bryio.com/images/stories/virtuemart/product/3760022906335.jpg,,non
1 496,Penne rigate demi-complet -,BIONATURAE,oui,Penne rigate demi-complet - BIONATURAE,8034063240044,Bryio,Penne rigate demi-complet 500gr,IS4,12,"1,14","Alimentaire / Épicerie / Riz, Pâtes, Féculents",A5.5-V5.5,ok,"0,5",,http://espacepro.bryio.com/images/stories/virtuemart/product/8034063240044.jpg,,non
1 536,Pâtes italiennes pennoni -,BIONATURAE,oui,Pâtes italiennes pennoni - BIONATURAE,8034063246381,Bryio,Pâtes italiennes pennoni 500gr,IS638,12,"1,19","Alimentaire / Épicerie / Riz, Pâtes, Féculents",A5.5-V5.5,ok,"0,5",,http://espacepro.bryio.com/images/stories/virtuemart/product/8034063246381.jpg,,non
1 529,Pesto alla genovese au tofu -,BIONATURAE,oui,Pesto alla genovese au tofu - BIONATURAE,8034063246152,Bryio,Pesto alla genovese au tofu 190gr,IS6152,6,"1,67",Alimentaire / Épicerie / Sauces,A5.5-V5.5,ok,"0,19",,http://espacepro.bryio.com/images/stories/virtuemart/product/8034063246152.jpg,,non
1 530,Pesto rosso au tofu -,BIONATURAE,oui,Pesto rosso au tofu - BIONATURAE,8034063246169,Bryio,Pesto rosso au tofu 190gr,IS6169,6,"1,67",Alimentaire / Épicerie / Sauces,A5.5-V5.5,ok,"0,19",,http://espacepro.bryio.com/images/stories/virtuemart/product/8034063246169.jpg,,non
1 843,Piment fort poudre -,MASALCHI,oui,Piment fort poudre - MASALCHI,3760022906366,Bryio,Piment fort poudre 35gr,MC636,3,"1,88","Alimentaire / Épicerie / Épices, Condiments, Graines",A5.5-V5.5,ok,"0,035",,http://espacepro.bryio.com/images/stories/virtuemart/product/3760022906366.jpg,,non
1 846,Poivre noir grains -,MASALCHI,oui,Poivre noir grains - MASALCHI,3760022906397,Bryio,Poivre noir grains 45gr,MC639,3,"1,72","Alimentaire / Épicerie / Épices, Condiments, Graines",A5.5-V5.5,ok,"0,045",,http://espacepro.bryio.com/images/stories/virtuemart/product/3760022906397.jpg,,non
1 847,Poivre noir poudre -,MASALCHI,oui,Poivre noir poudre - MASALCHI,3760022906403,Bryio,Poivre noir poudre 38gr,MC640,3,"1,60","Alimentaire / Épicerie / Épices, Condiments, Graines",A5.5-V5.5,ok,"0,038",,http://espacepro.bryio.com/images/stories/virtuemart/product/3760022906403.jpg,,non
1 506,Raviolis ricotta épinard et sauce tomates -,BIONATURAE,oui,Raviolis ricotta épinard et sauce tomates - BIONATURAE,8034063243397,Bryio,Raviolis ricotta épinard et sauce tomates 670gr,IS339,6,"2,73","Alimentaire / Épicerie / Riz, Pâtes, Féculents",A5.5-V5.5,ok,"0,67",,http://espacepro.bryio.com/images/stories/virtuemart/product/8034063243397.jpg,,non
1 507,Raviolis boeuf et sauce tomates -,BIONATURAE,oui,Raviolis boeuf et sauce tomates - BIONATURAE,8034063243670,Bryio,Raviolis boeuf et sauce tomates 670gr,IS367,6,"3,03","Alimentaire / Épicerie / Riz, Pâtes, Féculents",A5.5-V5.5,ok,"0,67",,http://espacepro.bryio.com/images/stories/virtuemart/product/8034063243670.jpg,,non
